2026-08-11 00:06:18.188 [AUTH-SERVICE] [http-nio-8099-exec-1] INFO  [JwtService.java:95] com.example.AuthService.config.JwtService - Starting JWT generation. username=conceptsofphysics@gmail.com
2026-08-11 00:06:18.383 [AUTH-SERVICE] [http-nio-8099-exec-1] INFO  [JwtService.java:127] com.example.AuthService.config.JwtService - JWT generated successfully. username=conceptsofphysics@gmail.com
2026-08-11 10:16:15.723 [AUTH-SERVICE] [main] INFO  [StartupInfoLogger.java:50] com.example.AuthService.AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.11 with PID 6784 (D:\Project Work\AuthService\target\classes started by prans in D:\Project Work)
2026-08-11 10:16:15.725 [AUTH-SERVICE] [main] INFO  [SpringApplication.java:654] com.example.AuthService.AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-08-11 10:16:24.862 [AUTH-SERVICE] [main] INFO  [ApplicationConfig.java:27] com.example.AuthService.config.ApplicationConfig - Initializing UserDetailsService for authentication
2026-08-11 10:16:24.872 [AUTH-SERVICE] [main] INFO  [FilterRegistrationConfig.java:28] com.example.AuthService.config.FilterRegistrationConfig - JwtAuthenticationFilter servlet auto-registration disabled; filter will be managed by Spring Security filter chain
2026-08-11 10:16:25.222 [AUTH-SERVICE] [main] INFO  [ApplicationConfig.java:84] com.example.AuthService.config.ApplicationConfig - Initializing AuthenticationManager
2026-08-11 10:16:25.313 [AUTH-SERVICE] [main] INFO  [ApplicationConfig.java:57] com.example.AuthService.config.ApplicationConfig - Initializing DaoAuthenticationProvider
2026-08-11 10:16:27.016 [AUTH-SERVICE] [main] INFO  [SecurityConfiguration.java:50] com.example.AuthService.config.SecurityConfiguration - Configuring AuthService security filter chain
2026-08-11 10:16:27.724 [AUTH-SERVICE] [main] INFO  [SecurityConfiguration.java:326] com.example.AuthService.config.SecurityConfiguration - AuthService security filter chain configured successfully. sessionPolicy=STATELESS, jwtFilterEnabled=true
2026-08-11 10:16:31.221 [AUTH-SERVICE] [main] INFO  [StartupInfoLogger.java:56] com.example.AuthService.AuthServiceApplication - Started AuthServiceApplication in 17.493 seconds (process running for 18.425)
